Country,Issuer,Denomination,Subject,Krause Number,Year,Mintmark,Grade,"Value, USD (CoinSnap) ",Composition,Obverse photo,Reverse photo,Value (MY),Note,Custom set
France,France,5 centimes,Common series,KM# 933,1977,No mintmark,AU,$ 0.15,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/1ba6f634-4dc3-436e-94d4-60d6ebfd23f2.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e21126b8-40a5-4978-b7ae-166c2d69545b.png,,,
France,France,50 centimes,Common series,,1941,Aluminium,XF,$ 0.42,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/51504fb5-8c4f-4a36-9bc2-23c68ead77d8.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/6a85612a-e0d3-4bd1-acee-8f3de9c12381.png,,,
France,France,10 centimes,Common series,KM# 929,1970,No mintmark,XF,$ 0.16,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/d2725eba-e9ca-4e4e-9cfb-10581f574cdd.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/999ba75e-3529-4f7e-93a3-a14ac46837a9.png,,,
France,France,10 centimes,Common series,KM# 929,1985,No mintmark,XF,$ 0.27,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/34a57c3e-4549-4527-b5e3-7db97c69b247.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/bff21685-833b-40cd-ba61-7c106cf303b4.png,,,
France,France,10 centimes,Common series,KM# 929,1987,No mintmark,AU,$ 0.13,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/760c52b9-c345-49e4-8698-2e176a6201b3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/67494c72-dadc-419d-b542-cef564ae5039.png,,,
France,France,10 centimes,Common series,KM# 929,1992,Alignment ↑↓,XF,$ 0.09,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/813188c1-175c-4896-ab80-7fa14851b138.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/e8e24694-a771-487b-b475-8aaebbf0b9ed.png,,,
France,France,50 centimes,Common series,,1932,No mintmark,G,$ 0.21,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/e8862d3d-7a65-401e-8a45-fb8e7f046401.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/be7642c6-7aec-447d-b8c0-315543998a12.png,,,
France,France,10 centimes,Common series,KM# 929,1979,No mintmark,VF,$ 0.08,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/ab3b300a-c7f9-4ac7-aa6b-df639d8b4d3a.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/0639feaf-7749-4763-b753-878e7ba0ca85.png,,,
France,France,½ franc,Common series,KM# 931,2000,Smooth edge,AU,$ 1.35,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/f72737f9-548d-4fb8-bd38-e1780e58efb1.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/eb2fa09c-9298-493a-be9f-413b919ffcfd.png,,,
France,France,50 centimes,Common series,KM# 884,1923,No mintmark,XF,$ 0.33,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/ce202b6b-0a05-4e6b-a0d0-4fe54fd48f5c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/44b97d10-38a4-48c5-887a-470de354093e.png,,,
France,France,10 centimes,Common series,KM# 929,1963,No mintmark,XF,$ 0.16,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/73a384ab-7a7b-4403-a859-a59577c58688.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fd9b3853-7769-4de0-b03e-30a0ccf59871.png,,,
France,France,10 centimes,Common series,KM# 929,1963,No mintmark,XF,$ 0.16,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/a8289a28-a60a-49d2-bf70-84b5b16a39c5.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/6e33f661-ee52-48de-9f72-21d3ad35f637.png,,,
France,France,50 centimes,Common series,KM# 914,1942,No mintmark,AU,$ 0.54,Aluminium,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/54e57764-3c21-45ce-8f6b-87a88177270c.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/0346f645-ac91-41a5-ab2a-34bff6bef402.png,,,
France,France,½ franc,Common series,KM# 931,1997,No mintmark,VF,$ 0.22,Nickel,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/9c14c722-41af-4243-b443-1afd67fc2ac3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/b92f82f0-4187-4883-9ea7-d7f9bbddd703.png,,,
France,France,10 centimes,Common series,KM# 929,1967,No mintmark,VF,$ 0.15,Aluminium-Bronze,https://static.coinidentifierai.com/app/prod/recognize/subject_side/1025840847/ac3fed42-b553-48de-a4e7-1cc2d38875c3.png,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/1025840847/fe92ef09-9225-4160-b27f-b9879d1a04c6.png,,,
